id,roll_no,name,date of birth,gender,email,mobile,address,academic_year,cdept_id,college_id,,,,,,
124,PPEC4007,Bethany,1999-08-07,F,mirod@yahoo.com,9443954372,11/ Model Town/ Kochi - 350873,2016,221,223,,,,,,
125,PPEC4008,Marc,1996-01-20,F,hyper@att.net,9110820322,47/ Vikhroli/ Meerut - 435054,2016,222,223,,,,,,
126,PPEC4009,Gennie,1996-04-02,M,simone@msn.com,9845629572,33/ Mansarovar/ Bengaluru - 362606,2016,222,223,,,,,,
127,PPEC4010,Glynis,1996-08-24,F,wildixon@verizon.net,9073890401,62/ Churchgate/ Kota - 339298,2016,222,223,,,,,,
128,PPEC4011,Judi,1996-11-06,M,boser@me.com,9066886450,81/ Chandpole/ Nashik - 196242,2016,222,223,,,,,,
129,PPEC4012,Ward,1996-11-09,M,akoblin@att.net,9016280280,76/ Hinjewadi/ Trichy - 314073,2017,222,223,,,,,,
130,PPEC4013,Erik,1997-05-26,M,fmtbebuck@msn.com,9916991781,24/ NitikaGunj/ Jamnagar - 430614,2017,222,223,,,,,,
131,PPEC4014,Dee,1997-06-19,F,heckerman@me.com,9278991942,21/ MustafaPur/ Mysore - 262202,2017,222,223,,,,,,
132,PPEC4015,Victoria,1997-06-22,F,comdig@verizon.net,9779826027,29/ Kartik Villas/ Cyber City Kota - 238589,2017,222,223,,,,,,
133,PPEC4016,Percy,1997-08-27,M,empathy@yahoo.com,9656243474,26/ David Apartments/ Padama Nagar Meerut - 398258,2017,222,223,,,,,,
134,PPEC4017,Stephane,1997-12-09,F,bcevc@hotmail.com,9291482818,93/ Hemendra Villas/ ShwetaGunj Gandhinagar - 190974,2017,222,223,,,,,,
135,PPEC4018,Yuki,1998-02-07,M,cgarcia@optonline.net,9911196600,74/ Deepesh Villas/ Tanuja Chowk Udaipur - 176708,2017,222,223,,,,,,
136,PPEC4019,Winona,1998-02-24,M,cremonini@sbcglobal.net,9784816986,82/ NitikaGunj/ Thiruvananthapuram - 523681,2017,222,223,,,,,,
137,PPEC4020,Tod,1998-03-07,M,grothoff@gmail.com,9006877659,22/ Nishita Society/ Harmada Jammu - 267425,2017,222,223,,,,,,
138,PPEC4021,Lulu,1998-03-13,F,yxing@optonline.net,9086050866,88/ Abhinav Apartments/ KrishnaGunj Bhopal - 369414,2017,222,223,,,,,,
139,PPEC4022,Marnie,1998-07-30,F,ilial@aol.com,9947118908,38/ Kajol Heights/ Aditya Nagar Jodhpur - 452671,2017,222,223,,,,,,
140,PPEC4023,Lakiesha,1998-11-21,M,uncled@msn.com,9006818745,35/ Farah Society/ Uma Nagar Jammu - 467567,2017,222,223,,,,,,
141,PPEC4024,Merideth,1998-12-14,F,niknejad@yahoo.com,9527206732,86/ Urvashi Apartments/ Jagat Nagar Faridabad - 593436,2017,222,223,,,,,,
142,SNCS7501,Pearlene,1999-02-04,M,engelen@att.net,9664774804,31/ Payal Villas/ Dadar Simla - 347593,2014,222,223,,,,,,
143,SNCS7502,Yuriko,1999-04-16,M,conteb@live.com,9011350342,38/ Esha Apartments/ Yerwada Lucknow - 408423,2014,222,223,,,,,,
144,SNCS7503,Mazie,1999-06-18,M,dmiller@aol.com,9784819772,76/ Malad/ Meerut - 320574,2014,222,223,,,,,,
145,SNCS7504,Minta,1999-06-30,F,fallorn@yahoo.com,9753714510,49/ Tushar Chowk/ Kota - 460092,2014,222,223,,,,,,
146,SNCS7505,Loise,1999-08-27,F,codex@aol.com,9260651194,89/ KarimGarh/ Jabalpur - 437197,2014,222,223,,,,,,
147,SNCS7506,Jettie,1999-09-11,M,fmerges@mac.com,9471870829,24/ Chinchwad/ Warangal - 332522,2014,222,223,,,,,,
148,SNCS7507,Martha,1999-10-07,F,openldap@aol.com,9807402572,96/ Churchgate/ Vishakhapattanam - 312904,2014,222,223,,,,,,
149,SNCS7508,Usha,1999-12-24,M,paulv@hotmail.com,9114825346,80/ AvantikaPur/ Mumbai - 292978,2014,222,223,,,,,,
150,SNCS7509,Samual,1998-01-24,M,carreras@hotmail.com,9061626072,62/ Naina Apartments/ Model Town Noida - 594700,2014,321,212,,,,,,
151,SNCS7510,Jewel,1998-02-16,M,singer@yahoo.com,9749069140,56/ Malad/ Hisar - 293287,2014,321,212,,,,,,
152,SNCS7511,Harley,1998-03-24,F,kannan@hotmail.com,9718755242,26/ Wafa Society/ HimaniPur Jammu - 579245,2014,321,212,,,,,,
153,SNCS7512,Tomeka,1998-04-04,F,bester@gmail.com,9023999696,54/ Parvez Society/ Esha Nagar Gurgaon - 526033,2014,321,212,,,,,,
154,SNCS7513,Beckie,1998-04-24,M,hager@outlook.com,9456448516,12/ Dadar/ Jamnagar - 441573,2015,321,212,,,,,,
155,SNCS7514,Latia,1998-04-26,F,rnewman@hotmail.com,9517978346,92/ Yerwada/ Jammu - 474243,2015,321,212,,,,,,
156,SNCS7515,Odilia,1998-05-01,M,noahb@aol.com,9986173554,66/ Manjari Apartments/ Chandpole Kolkata - 195439,2015,321,212,,,,,,
157,SNCS7516,Marcia,1998-08-29,M,jamuir@att.net,9879662782,21/ Devendra Villas/ Kharadi Ajmer - 373710,2015,321,212,,,,,,
158,SNCS7517,Cary,1998-10-06,M,fukuchi@comcast.net,9799527215,80/ SheetalPur/ Gurgaon - 479603,2015,321,212,,,,,,
159,SNCS7518,Randa,1998-12-06,F,tbeck@msn.com,9348109642,32/ Kunti Apartments/ MalikPur Alwar - 273839,2015,321,212,,,,,,
160,SNCS7519,Gracia,1999-01-15,F,anicolao@yahoo.ca,9567416919,31/ Sweta Heights/ Hinjewadi Bengaluru - 547491,2015,321,212,,,,,,
161,SNCS7520,Mammie,1999-01-29,M,psharpe@hotmail.com,9470178460,12/ Bandra/ Lucknow - 325385,2015,321,212,,,,,,
162,SNIT7501,Elba,1999-09-17,F,penna@icloud.com,9081830678,34/ Siddharth Apartments/ Yerwada Bhubhaneshwar - 193633,2015,321,212,,,,,,
163,SNIT7502,Jann,1999-12-06,M,jtorkbob@outlook.com,9668217562,15/ Pradeep Society/ NavalGunj Noida - 374728,2015,321,212,,,,,,
164,SNIT7503,Shanda,1999-12-11,M,ingolfke@icloud.com,9459977062,64/ Devika Chowk/ Ajmer - 186286,2015,321,212,,,,,,
165,SNIT7504,Leora,2000-06-20,M,tokuhirom@optonline.net,9462098282,19/ Dadar/ Warangal - 211094,2015,321,212,,,,,,
166,SNIT7505,Kristan,2000-06-22,F,bartlett@live.com,9436798212,13/ Deccan Gymkhana/ Mumbai - 249243,2015,321,212,,,,,,
167,SNIT7506,Doreatha,2000-07-02,F,yangyan@gmail.com,9189327122,19/ Yadu Chowk/ Alwar - 161774,2016,321,212,,,,,,
168,SNIT7507,Carolin,2000-08-27,M,roamer@att.net,9460955544,58/ Anshula Heights/ Yogesh Nagar Gurgaon - 470087,2016,321,212,,,,,,
169,SNIT7508,Lavon,2000-10-14,F,gastown@hotmail.com,9913069787,72/ Hinjewadi/ Patna - 117161,2016,321,212,,,,,,
170,SNIT7509,Kent,2000-10-22,M,devphil@icloud.com,9977541992,72/ Hinjewadi/ Udaipur - 219226,2016,321,212,,,,,,
171,SNIT7510,Jacqulyn,2001-03-14,M,caidaperl@aol.com,9972164185,97/ Farah Chowk/ Udaipur - 596210,2016,321,212,,,,,,
172,SNIT7511,David,2001-06-16,M,warrior@mac.com,9642139769,14/ Churchgate/ Mysore - 131398,2016,321,212,,,,,,
173,SNIT7512,Lorrie,2001-09-20,F,boser@yahoo.com,9161405998,73/ Yerwada/ Rajkot - 119401,2016,321,212,,,,,,
174,SNIT7513,Bianca,2001-11-16,F,dprice@live.com,9990416869,77/ Hinjewadi/ Jammu - 227049,2016,321,212,,,,,,
175,SNIT7514,Neva,1998-01-12,M,crowl@gmail.com,9906927405,37/ Malad/ Panaji - 279803,2016,322,212,,,,,,
176,SNIT7515,Santos,1998-03-17,F,gozer@live.com,9682916993,23/ VenkatGarh/ Pilani - 278643,2016,322,212,,,,,,
177,SNIT7516,Yasmine,1998-04-03,M,gator@icloud.com,9190917931,27/ Navami Apartments/ Borivali Hisar - 171653,2016,322,212,,,,,,
178,SNIT7517,Noma,1998-07-08,M,alastair@me.com,9052085953,67/ ShwetaGunj/ Vishakhapattanam - 462761,2016,322,212,,,,,,
179,SNIT7518,Ali,1998-10-22,M,hmbrand@mac.com,9471304924,50/ Hadapsar/ Bhubhaneshwar - 416907,2017,322,212,,,,,,
180,SNIT7519,Dawna,1998-11-08,F,lstein@msn.com,9054692464,15/ Sodala/ Jamnagar - 402237,2017,322,212,,,,,,
181,SNIT7520,Nilda,1998-12-04,F,bester@yahoo.com,9827415017,5/ Shobha Heights/ AmirGunj Patna - 150187,2017,322,212,,,,,,
182,SNIT7521,Juliann,1999-01-17,M,multiplx@sbcglobal.net,9123238204,48/ Gunjan Society/ Cyber City Hyderabad - 554586,2017,322,212,,,,,,
183,SNIT7522,Doloris,1999-02-03,F,crowl@msn.com,9552655950,72/ Rupesh Society/ AnshulaGunj Noida - 451856,2017,322,212,,,,,,
184,SNIT7523,Carrie,1999-05-13,M,daveewart@verizon.net,9839395495,39/ Virat Heights/ Bandra Gandhinagar - 278737,2017,322,212,,,,,,
185,SNIT7524,Isreal,1999-09-10,M,barnett@gmail.com,9745047761,81/ Pranab Nagar/ Vadodara - 546887,2017,322,212,,,,,,
186,SNIT7525,Marcene,1999-10-03,M,sonnen@att.net,9072815683,18/ Subhash Society/ HrishikeshGunj Ratlam - 252322,2017,322,212,,,,,,
187,SNIT7526,Sanjuana,2000-01-29,F,sinkou@sbcglobal.net,9688575082,77/ Preshita Society/ Raju Nagar Nagpur - 162810,2017,322,212,,,,,,
188,SNIT7527,Shan,2000-02-06,F,hahsler@att.net,9883428131,57/ Chandpole/ Faridabad - 202359,2017,322,212,,,,,,
189,RKEC6001,Gigi,2000-03-20,M,rsmartin@optonline.net,9055703271,63/ MohanGunj/ Pune - 170626,2014,322,212,,,,,,
190,RKEC6002,Abbie,2000-03-23,F,kuparine@comcast.net,9545640964,69/ Pravin Heights/ Yeshwanthpura Warangal - 266519,2014,322,212,,,,,,
191,RKEC6003,Dakota,2000-07-01,M,yamla@comcast.net,9161335533,71/ ArunGunj/ Bikaner - 472575,2014,322,212,,,,,,
192,RKEC6004,Lavada,2001-04-06,M,phish@att.net,9127021424,81/ MadhaviGarh/ Jodhpur - 324617,2014,322,212,,,,,,
193,RKEC6005,Aretha,2001-05-16,M,pedwards@hotmail.com,9898037741,91/ RoseyPur/ Pondicherry - 229522,2014,322,212,,,,,,
194,RKEC6006,Roselyn,2001-05-19,F,itstatus@comcast.net,9544048345,90/ Kailash Society/ Kasturba Chowk Gurgaon - 377678,2014,322,212,,,,,,
195,RKEC6007,Holly,2001-08-18,F,jonas@verizon.net,9964437122,55/ Hinjewadi/ Guwahati - 413287,2014,322,212,,,,,,
196,RKEC6008,Emily,2001-08-29,M,juliano@aol.com,9657219958,53/ Farah Society/ Mukti Nagar Simla - 521886,2014,322,212,,,,,,
197,RKEC6009,Lorretta,2001-10-14,F,sequin@sbcglobal.net,9853742713,19/ Cyber City/ Ajmer - 524185,2014,322,212,,,,,,
198,RKEC6010,Marquita,2001-11-04,M,podmaster@hotmail.com,9182552704,61/ Yerwada/ Gandhinagar - 335762,2014,322,212,,,,,,
199,RKEC6011,Gloria,2001-12-28,M,sfoskett@hotmail.com,9163902122,38/ Nawab/  Chowk/ Warangal - 243938,2014,322,212,,,,,,
200,RKEC6012,Lena,1998-01-10,M,jdhildeb@live.com,9457887794,14/ Sapna Heights/ Mayawati Nagar Chandigarh - 318267,2014,521,434,,,,,,
201,RKEC6013,Winnie,1998-02-08,F,njpayne@outlook.com,9694317178,78/ Raj Society/ ChhaviPur Trichy - 405493,2015,521,434,,,,,,
202,RKEC6014,Winford,1998-04-24,F,purvis@yahoo.com,9608440288,16/ Sabina Chowk/ Pune - 555763,2015,521,434,,,,,,
203,RKEC6015,Marcelle,1998-06-22,M,skajan@yahoo.ca,9112861562,89/ PriyankaGunj/ Jamnagar - 385529,2015,521,434,,,,,,
204,RKEC6016,Marry,1998-11-29,F,juliano@icloud.com,9672675772,57/ Yeshwanthpura/ Faridabad - 134426,2015,521,434,,,,,,
205,RKEC6017,Muriel,1998-12-06,M,philb@gmail.com,9055527588,93/ Naseer Villas/ Borivali Faridabad - 418335,2015,521,434,,,,,,
206,RKEC6018,Tyrell,1998-12-17,M,jacks@sbcglobal.net,9104417518,20/ Nilima Villas/ Borivali Gangtok - 396616,2015,521,434,,,,,,
207,RKEC6019,Deb,1999-01-13,M,zeller@comcast.net,9587410292,73/ Esha Apartments/ NupoorGarh Indore - 388435,2015,521,434,,,,,,
208,RKEC6020,Marylee,1999-02-08,F,msloan@mac.com,9570131443,91/ Sharad Apartments/ AvantikaGarh Kochi - 586486,2015,521,434,,,,,,
209,RKEC6021,Alejandra,1999-03-22,F,stakasa@gmail.com,9026217734,21/ FakaruddinGarh/ Jodhpur - 210524,2015,521,434,,,,,,
210,RKEC6022,Harley,1999-10-28,M,isotopian@mac.com,9905128642,38/ DevendraGunj/ Meerut - 421126,2015,521,434,,,,,,
211,RKCS6001,Ina,2000-02-18,F,cmdrgravy@yahoo.com,9829601250,51/ Himani Society/ Urvashi Nagar Bhubhaneshwar - 388168,2015,521,434,,,,,,
212,RKCS6002,Jimmy,2000-03-11,M,kimvette@sbcglobal.net,9329368587,62/ Mowgli Apartments/ BijoyGunj Hisar - 162980,2015,521,434,,,,,,
213,RKCS6003,Antione,2000-04-08,M,claesjac@sbcglobal.net,9834469385,38/ Maya Heights/ Borivali Mysore - 205395,2016,521,434,,,,,,
214,RKCS6004,Tam,2000-05-23,M,granboul@optonline.net,9378309416,32/ Model Town/ Vadodara - 248973,2016,521,434,,,,,,
215,RKCS6005,Desmond,2000-05-28,F,philb@yahoo.com,9587882904,48/ Srinivasan Apartments/ Dadar Thiruvananthapuram - 548570,2016,521,434,,,,,,
216,RKCS6006,Ashanti,2000-07-28,F,dinther@outlook.com,9770016118,28/ Geetanjali Chowk/ Jamnagar - 539514,2016,521,434,,,,,,
217,RKCS6007,Aurore,2000-11-14,M,krueger@sbcglobal.net,9107527715,10/ NiyatiGunj/ Surat - 130350,2016,521,434,,,,,,
218,RKCS6008,Franklyn,2000-11-23,F,sjava@gmail.com,9098508764,72/ Preet Society/ Marathahalli Pune - 454833,2016,521,434,,,,,,
219,RKCS6009,Bryce,2001-01-02,M,hyper@hotmail.com,9126162738,97/ Bagwati Nagar/ Raipur - 300845,2016,521,434,,,,,,
220,RKCS6010,Fredia,2001-03-28,M,isorashi@yahoo.com,9519757898,83/ Anand Heights/ KrishnaPur Gurgaon - 182793,2016,521,434,,,,,,
221,RKCS6011,Siu,2001-05-30,M,pemungkah@mac.com,9841095422,58/ Prasoon Society/ Deccan Gymkhana Ratlam - 364314,2016,521,434,,,,,,
222,RKCS6012,Kandice,2001-07-01,F,dgriffith@msn.com,9308614824,99/ Cyber City/ Raipur - 205641,2016,521,434,,,,,,
223,RKCS6013,Delaine,2001-11-13,F,srour@live.com,9873809293,24/ TejaswaniGarh/ Rajkot - 416768,2016,521,434,,,,,,
224,RKCS6014,Kayla,2001-12-07,M,jorgb@optonline.net,9611688355,32/ Rachel Chowk/ Delhi - 532958,2016,521,434,,,,,,
225,RKCS6015,Kay,1998-03-14,F,grothoff@live.com,9585982058,52/ Srinivasan Chowk/ Gurgaon - 301515,2016,522,434,,,,,,
226,RKCS6016,Alex,1998-04-22,M,balchen@aol.com,9887885879,48/ Mohanlal Villas/ Bandra Hisar - 471866,2016,522,434,,,,,,
227,RKCS6017,Thersa,1998-08-12,M,pappp@comcast.net,9451818457,51/ MuktiGunj/ Udaipur - 366034,2017,522,434,,,,,,
228,RKCS6018,Raymond,1998-10-23,M,skythe@aol.com,9725193519,61/ Aundh/ Mysore - 285910,2017,522,434,,,,,,
229,RKCS6019,Pricilla,1998-11-13,F,jbailie@me.com,9596458873,78/ BabitaGunj/ Panaji - 210028,2017,522,434,,,,,,
230,RKCS6020,Marlana,1998-12-07,F,uqmcolyv@comcast.net,9503831528,33/ Ragini Apartments/ UdayPur Pilani - 588998,2017,522,434,,,,,,
231,RKCS6021,Gita,1998-12-17,M,evilopie@icloud.com,9058891312,23/ Hinjewadi/ Panaji - 579119,2017,522,434,,,,,,
232,RKCS6022,Dominga,1998-12-19,F,barlow@mac.com,9603256026,38/ Model Town/ Bhopal - 163704,2017,522,434,,,,,,
233,RKCS6023,Maximina,1999-01-09,M,milton@yahoo.ca,9542187304,70/ DiyaGarh/ Mysore - 410984,2017,522,434,,,,,,
234,SSEE3001,Chery,1999-06-02,M,gavollink@msn.com,9107259637,95/ Gowri Apartments/ Harmada Bhubhaneshwar - 223692,2014,522,434,,,,,,
235,SSEE3002,Lean,1999-09-21,M,aegreene@outlook.com,9042932122,96/ Bimla Apartments/ Virar Mysore - 478056,2014,522,434,,,,,,
236,SSEE3003,Jarvis,2000-02-18,F,jgwang@aol.com,9457222785,65/ Aatif Apartments/ Churchgate Kanpur - 445541,2014,522,434,,,,,,
237,SSEE3004,Kelley,2000-02-21,F,noahb@msn.com,9391650792,99/ Karim Chowk/ Srinagar - 167907,2014,522,434,,,,,,
238,SSEE3005,Abram,2000-02-29,M,hauma@me.com,9619962432,39/ Virar/ Panaji - 104629,2014,522,434,,,,,,
239,SSEE3006,Geraldo,2000-04-11,F,rhavyn@msn.com,9334099002,59/ Sweta Villas/ Himesh Nagar Gandhinagar - 459223,2014,522,434,,,,,,
240,SSEE3007,Marquis,2000-04-13,M,aegreene@verizon.net,9723562245,10/ Bandra/ Nagpur - 561061,2014,522,434,,,,,,
241,SSEE3008,Eliz,2000-04-21,M,crypt@icloud.com,9483693612,48/ Afreen Villas/ Harmada Indore - 109263,2014,522,434,,,,,,
242,SSEE3009,Leigha,2000-04-29,M,aukjan@yahoo.ca,9136922436,32/ GeetanjaliGunj/ Hyderabad - 482812,2014,522,434,,,,,,
243,SSEE3010,Philip,2000-07-21,F,bmcmahon@yahoo.ca,9837086917,99/ Bhairavi Apartments/ Moti Nagar Patna - 134972,2014,522,434,,,,,,
244,SSEE3011,Akiko,2000-09-02,F,sriha@live.com,9723031297,59/ Nancy Apartments/ Satishwar Chowk Ranchi - 328822,2014,522,434,,,,,,
245,SSEE3012,Scarlett,2000-10-07,M,parksh@aol.com,9943582634,5/ NidhiPur/ Udaipur - 282105,2014,522,434,,,,,,
246,SSEE3013,Genesis,2001-05-23,F,ahuillet@mac.com,9169992390,81/ Baldev Villas/ Deccan Gymkhana Darjeeling - 531674,2015,522,434,,,,,,
247,SSEE3014,Masako,2001-08-16,M,boomzilla@yahoo.ca,9079021176,29/ TulsiGarh/ Gurgaon - 355945,2015,522,434,,,,,,
248,SSEE3015,Shyla,2001-09-04,M,bsikdar@me.com,9693961276,10/ Aundh/ Ahmedabad - 248420,2015,522,434,,,,,,
249,SSEE3016,Irina,2001-09-05,M,esbeck@verizon.net,9701253206,94/ JackGarh/ Mysore - 293586,2015,522,434,,,,,,
250,SSEE3017,Cammy,1999-08-22,F,saridder@yahoo.ca,9152591784,30/ Parvez Chowk/ Jodhpur - 495851,2015,621,365,,,,,,
251,SSEE3018,Argentina,1998-09-13,F,pgolle@yahoo.com,9083370302,134/ Afreen Villas/ Harmada Indore - 109263,2015,621,365,,,,,,
252,SSEE3019,Layla,1999-01-08,M,nasor@optonline.net,9043104075,61/ Aniruddh Society/ Virar Ludhiana - 384452,2015,621,365,,,,,,
253,SSEE3020,Roxanne,1999-03-26,F,ehood@me.com,9989527932,16/ Aarif Villas/ BalajiGunj Guwahati - 232310,2015,621,365,,,,,,
254,SSEE3021,Holley,1999-03-31,M,hachi@optonline.net,9004342312,17/ Aishwarya Chowk/ Pune - 245391,2015,621,365,,,,,,
255,SSEE3022,Sebastian,1999-06-29,M,campbell@outlook.com,9831579645,90/ Hadapsar/ Hisar - 416164,2015,621,365,,,,,,
256,SSEE3023,Olen,1999-08-22,M,wainwrig@gmail.com,9609052401,76/ UmaGarh/ Kanpur - 554102,2015,621,365,,,,,,
257,SSEE3024,Kenyetta,1999-10-21,F,damian@optonline.net,9060560360,37/ DivyaPur/ Ahmedabad - 290836,2016,621,365,,,,,,
258,SSEE3025,Lavonda,1999-12-26,F,gordonjcp@icloud.com,9136977220,88/ AlkaGunj/ Vadodara - 245913,2016,621,365,,,,,,
259,SSME3001,Raelene,2000-01-24,M,lauronen@outlook.com,9951231544,65/ Ratan Society/ Jagat Nagar Jamnagar - 269771,2016,621,365,,,,,,
260,SSME3002,Miguel,2000-02-25,F,hllam@mac.com,9134720046,68/ Kajal Chowk/ Jabalpur - 318985,2016,621,365,,,,,,
261,SSME3003,Carma,2000-02-26,M,wkrebs@optonline.net,9535899400,20/ Madhavi Apartments/ Dadar Gangtok - 195970,2016,621,365,,,,,,
262,SSME3004,Nikole,2000-03-07,M,lishoy@gmail.com,9640797584,14/ IbrahimGunj/ Dehra Dun - 319116,2016,622,365,,,,,,
263,SSME3005,Cleo,2000-03-14,M,ramollin@msn.com,9312464625,96/ Meghana Chowk/ Raipur - 228542,2016,622,365,,,,,,
264,SSME3006,Elliott,2000-04-22,F,kourai@msn.com,9325620629,26/ Heena Chowk/ Kanpur - 192040,2016,622,365,,,,,,
265,SSME3007,Mohammad,2000-06-24,F,gmcgath@yahoo.ca,9880628842,23/ Jagat Society/ Harmada Kochi - 582224,2016,622,365,,,,,,
266,SSME3008,Obdulia,2000-09-21,M,kenja@hotmail.com,9506950366,67/ Marathahalli/ Kolkata - 362774,2016,622,365,,,,,,
267,SSME3009,Trudy,2001-03-03,F,simone@me.com,9951712248,55/ LabeenPur/ Bengaluru - 265488,2016,622,365,,,,,,
268,SSME3010,Alise,2001-04-16,M,improv@outlook.com,9066130222,37/ AnandPur/ Bhubhaneshwar - 454844,2016,622,365,,,,,,
269,SSME3011,Zina,2001-05-14,M,punkis@yahoo.com,9078244060,75/ John Society/ Radhika Chowk New Delhi - 319598,2017,622,365,,,,,,
270,SSME3012,Eugenia,2001-05-26,M,mcnihil@hotmail.com,9943555250,43/ Priyanka Nagar/ Hyderabad - 459285,2017,622,365,,,,,,
271,SSME3013,Zoraida,2001-09-06,F,natepuri@hotmail.com,9627869226,31/ Kabeer Society/ Laveena Chowk Bengaluru - 333379,2017,622,365,,,,,,
272,SSME3014,Evan,2001-09-19,F,ahuillet@live.com,9865746100,35/ SheetalPur/ Warangal - 204783,2017,622,365,,,,,,
